"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00012916","2018-07-17","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    3",",,W,2400","    0",",,H","    0",",,H","  322",",,W","  261",",,W",,,,,"   25",",,W",,,,,,,,,"  278","H,,S",,,,,"  310",",,W","  260",",,W",,,,,,,"   63",",,W","   81",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-18","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   64",",,W,2400","    0",",,H","    0",",,H","  311",",,W","  244",",,W",,,,,"   26",",,W",,,,,,,,,"  282","H,,S",,,,,"  320",",,W","  360",",,W",,,,,,,"   76",",,W","  103",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-19","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  244",",,W",,,,,"   21",",,W",,,,,,,,,"  282","H,,S",,,,,"  130",",,W","  130",",,W",,,,,,,"   63",",,W","   72",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-20","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  361",",,W","  267",",,W",,,,,"   30",",,W",,,,,,,,,"  306","H,,S",,,,,"  280",",,W","  230",",,W",,,,,,,"   58",",,W","   76",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-21","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  267",",,W",,,,,"   37",",,W",,,,,,,,,"  305","H,,S",,,,,"  320",",,W","  250",",,W",,,,,,,"   67",",,W","   85",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-22","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0","T,,W,2400","    0",",,H","    0",",,H","  356",",,W","  272",",,W",,,,,"   51",",,W",,,,,,,,,"  308","H,,S",,,,,"  270",",,W","  270",",,W",,,,,,,"   94",",,W","  125",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-23","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0","T,,W,2400","    0",",,H","    0",",,H","  356",",,W","  256",",,W",,,,,"   30",",,W",,,,,,,,,"  308","H,,S",,,,,"  150",",,W","  150",",,W",,,,,,,"   94",",,W","  116",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-24","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   41",",,W,2400","    0",",,H","    0",",,H","  339",",,W","  256",",,W",,,,,"   32",",,W",,,,,,,,,"  294","H,,S",,,,,"   50",",,W","  360",",,W",,,,,,,"   72",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-25","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    8",",,W,2400","    0",",,H","    0",",,H","  339",",,W","  267",",,W",,,,,"   23",",,W",,,,,,,,,"  302","H,,S",,,,,"   30",",,W","   30",",,W",,,,,,,"   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-26","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  356",",,W","  250",",,W",,,,,"   20",",,W",,,,,,,,,"  307","H,,S",,,,,"  150",",,W","  150",",,W",,,,,,,"   63",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-27","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  361",",,W","  244",",,W",,,,,"   17",",,W",,,,,,,,,"  297","H,,S",,,,,"  200",",,W","  200",",,W",,,,,,,"   63",",,W","   81",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-28","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   20",",,W,2400","    0",",,H","    0",",,H","  356",",,W","  244",",,W",,,,,"   24",",,W",,,,,,,,,"  294","H,,S",,,,,"  300",",,W","  300",",,W",,,,,,,"   89",",,W","  130",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-29","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0","T,,W,2400","    0",",,H","    0",",,H","  339",",,W","  244",",,W",,,,,"   15",",,W",,,,,,,,,"  286","H,,S",,,,,"  130",",,W","  130",",,W",,,,,,,"   98",",,W","  116",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-30","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   76",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  250",",,W",,,,,"   18",",,W",,,,,,,,,"  283","H,,S",,,,,"  180",",,W","  160",",,W",,,,,,,"   81",",,W","  125",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-07-31","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   64",",,W,2400","    0",",,H","    0",",,H","  322",",,W","  244",",,W",,,,,"   21",",,W",,,,,,,,,"  277","H,,S",,,,,"  190",",,W","  210",",,W",,,,,,,"  125",",,W","  174",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-01","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  322",",,W","  239",",,W",,,,,"   26",",,W",,,,,,,,,"  278","H,,S",,,,,"   10",",,W","   10",",,W",,,,,,,"   63",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-02","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  231",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  233",",,W",,,,,"   21",",,W",,,,,,,,,"  275","H,,S",,,,,"   80",",,W","   80",",,W",,,,,,,"   89",",,W","  134",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-03","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  549",",,W,2400","    0",",,H","    0",",,H","  306",",,W","  239",",,W",,,,,"   21",",,W",,,,,,,,,"  273","H,,S",,,,,"   60",",,W","   50",",,W",,,,,,,"  130",",,W","  165",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-04","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  107",",,W,2400","    0",",,H","    0",",,H","  306",",,W","  233",",,W",,,,,"   19",",,W",,,,,,,,,"  267","H,,S",,,,,"  250",",,W","  250",",,W",,,,,,,"   76",",,W","   98",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-05","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  339",",,W","  250",",,W",,,,,"   35",",,W",,,,,,,,,"  288","H,,S",,,,,"  130",",,W","  110",",,W",,,,,,,"   81",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-06","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  165",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  250",",,W",,,,,"   23",",,W",,,,,,,,,"  287","H,,S",,,,,"   70",",,W","   80",",,W",,,,,,,"  116",",,W","  179",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-07","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0","T,,W,2400","    0",",,H","    0",",,H","  339",",,W","  244",",,W",,,,,"   22",",,W",,,,,,,,,"  294","H,,S",,,,,"  140",",,W","  140",",,W",,,,,,,"  107",",,W","  139",",,W",,,,,,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-08","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0","T,,W,2400","    0",",,H","    0",",,H","  333",",,W","  244",",,W",,,,,"   17",",,W",,,,,,,,,"  280","H,,S",,,,,"  110",",,W","  110",",,W",,,,,,,"   76",",,W","   89",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-09","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0","T,,W,2400","    0",",,H","    0",",,H","  328",",,W","  244",",,W",,,,,"   22",",,W",,,,,,,,,"  286","H,,S",,,,,"  200",",,W","  200",",,W",,,,,,,"   81",",,W","  103",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-10","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   15",",,W,2400","    0",",,H","    0",",,H","  317",",,W","  250",",,W",,,,,"   23",",,W",,,,,,,,,"  273","H,,S",,,,,"  220",",,W","  210",",,W",,,,,,,"   94",",,W","  112",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-11","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    8",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  233",",,W",,,,,"   23",",,W",,,,,,,,,"  268","H,,S",,,,,"  330",",,W","  330",",,W",,,,,,,"   81",",,W","  116",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-12","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  239",",,W",,,,,"   18",",,W",,,,,,,,,"  283","H,,S",,,,,"   20",",,W","   20",",,W",,,,,,,"   54",",,W","   72",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-13","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  244",",,W",,,,,"   16",",,W",,,,,,,,,"  303","H,,S",,,,,"  340",",,W","  320",",,W",,,,,,,"   40",",,W","   54",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-14","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0","T,,W,2400","    0",",,H","    0",",,H","  356",",,W","  244",",,W",,,,,"   21",",,W",,,,,,,,,"  298","H,,S",,,,,"  190",",,W","  180",",,W",,,,,,,"   67",",,W","   89",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-15","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  361",",,W","  250",",,W",,,,,"   21",",,W",,,,,,,,,"  292","H,,S",,,,,"  190",",,W","  190",",,W",,,,,,,"   72",",,W","   94",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-16","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   46",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  261",",,W",,,,,"   20",",,W",,,,,,,,,"  291","H,,S",,,,,"  170",",,W","  130",",,W",,,,,,,"   58",",,W","   76",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-17","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  226",",,W,2400","    0",",,H","    0",",,H","  311",",,W","  250",",,W",,,,,"   26",",,W",,,,,,,,,"  282","H,,S",,,,,"  250",",,W","  250",",,W",,,,,,,"   89",",,W","  116",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-18","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  231",",,W,2400","    0",",,H","    0",",,H","  322",",,W","  244",",,W",,,,,"   25",",,W",,,,,,,,,"  271","H,,S",,,,,"  220",",,W","  240",",,W",,,,,,,"   94",",,W","  130",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-19","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   36",",,W,2400","    0",",,H","    0",",,H","  317",",,W","  244",",,W",,,,,"   30",",,W",,,,,,,,,"  272","H,,S",,,,,"  240",",,W","  240",",,W",,,,,,,"   98",",,W","  134",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-20","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   58",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  250",",,W",,,,,"   32",",,W",,,,,,,,,"  278","H,,S",,,,,"  240",",,W","  240",",,W",,,,,,,"  116",",,W","  170",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-21","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  432",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  250",",,W",,,,,"   33",",,W",,,,,,,,,"  294","H,,S",,,,,"   10",",,W","   20",",,W",,,,,,,"  103",",,W","  148",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-22","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  250",",,W",,,,,"   29",",,W",,,,,,,,,"  291","H,,S",,,,,"   40",",,W","   30",",,W",,,,,,,"   67",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-23","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  256",",,W",,,,,"   23",",,W",,,,,,,,,"  297","H,,S",,,,,"   80",",,W","   30",",,W",,,,,,,"   54",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-24","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0",",,W,2400","    0",",,H","    0",",,H","  339",",,W","  239",",,W",,,,,"   17",",,W",,,,,,,,,"  287","H,,S",,,,,"  160",",,W","  160",",,W",,,,,,,"   45",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-25","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   10",",,W,2400","    0",",,H","    0",",,H","  339",",,W","  244",",,W",,,,,"   28",",,W",,,,,,,,,"  288","H,,S",,,,,"  120",",,W","  320",",,W",,,,,,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-26","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    3",",,W,2400","    0",",,H","    0",",,H","  339",",,W","  261",",,W",,,,,"   30",",,W",,,,,,,,,"  298","H,,S",,,,,"  120",",,W","  110",",,W",,,,,,,"   89",",,W","  103",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-27","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  155",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  244",",,W",,,,,"   29",",,W",,,,,,,,,"  286","H,,S",,,,,"   50",",,W","   60",",,W",,,,,,,"  103",",,W","  130",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-28","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   36",",,W,2400","    0",",,H","    0",",,H","  306",",,W","  261",",,W",,,,,"   25",",,W",,,,,,,,,"  278","H,,S",,,,,"  140",",,W","  140",",,W",,,,,,,"   81",",,W","   94",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-29","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    0","T,,W,2400","    0",",,H","    0",",,H","  311",",,W","  261",",,W",,,,,"   18",",,W",,,,,,,,,"  281","H,,S",,,,,"  250",",,W","   50",",,W",,,,,,,"   67",",,W","   85",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-30","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   28",",,W,2400","    0",",,H","    0",",,H","  311",",,W","  244",",,W",,,,,"   22",",,W",,,,,,,,,"  275","H,,S",,,,,"  110",",,W","  110",",,W",,,,,,,"   72",",,W","   76",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-08-31","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  175",",,W,2400","    0",",,H","    0",",,H","  294",",,W","  250",",,W",,,,,"   36",",,W",,,,,,,,,"  269","H,,S",,,,,"  110",",,W","   50",",,W",,,,,,,"   81",",,W","  107",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-09-01","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","  145",",,W,2400","    0",",,H","    0",",,H","  294",",,W","  256",",,W",,,,,"   38",",,W",,,,,,,,,"  270","H,,S",,,,,"  140",",,W","   20",",,W",,,,,,,"   76",",,W","  103",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-09-02","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   10",",,W,2400","    0",",,H","    0",",,H","  294",",,W","  256",",,W",,,,,"   45",",,W",,,,,,,,,"  266","H,,S",,,,,"  150",",,W","  150",",,W",,,,,,,"   81",",,W","  112",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-09-03","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    8",",,W,2400","    0",",,H","    0",",,H","  322",",,W","  256",",,W",,,,,"   41",",,W",,,,,,,,,"  280","H,,S",,,,,"  110",",,W","   90",",,W",,,,,,,"  103",",,W","  130",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-09-04","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","   15",",,W,2400","    0",",,H","    0",",,H","  311",",,W","  261",",,W",,,,,"   50",",,W",,,,,,,,,"  281","H,,S",,,,,"   60",",,W","   60",",,W",,,,,,,"   98",",,W","  139",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","2018-09-05","29.99691","-90.27751","1.2","NEW ORLEANS AIRPORT, LA US","    8",",,W,2400","    0",",,H","    0",",,H","  328",",,W","  228",",,W",,,,,"   25",",,W",,,,,,,,,"  273","H,,S",,,,,"  190",",,W","  230",",,W",,,,,,,"   58",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
